StubParser: Method getRunningTasks(int,int,IThumbnailReceiver) not found in type android.app.ActivityManager
[jsr308.javac] StubParser: Method disconnect(BluetoothDevice) not found in type android.bluetooth.BluetoothA2dp
[jsr308.javac] StubParser: Method setPriority(BluetoothDevice,int) not found in type android.bluetooth.BluetoothA2dp
[jsr308.javac] StubParser: Method connect(BluetoothDevice) not found in type android.bluetooth.BluetoothA2dp
[jsr308.javac] StubParser: Method isEnabled() not found in type android.bluetooth.BluetoothA2dp
[jsr308.javac] StubParser: Method getPriority(BluetoothDevice) not found in type android.bluetooth.BluetoothA2dp
[jsr308.javac] StubParser: Method getConnectionState() not found in type android.bluetooth.BluetoothAdapter
[jsr308.javac] StubParser: Method getPriority(BluetoothDevice) not found in type android.bluetooth.BluetoothHeadset
[jsr308.javac] StubParser: Method setPriority(BluetoothDevice,int) not found in type android.bluetooth.BluetoothHeadset
[jsr308.javac] StubParser: Method disconnect(BluetoothDevice) not found in type android.bluetooth.BluetoothHeadset
[jsr308.javac] StubParser: Method connect(BluetoothDevice) not found in type android.bluetooth.BluetoothHeadset
[jsr308.javac] StubParser: Method isEnabled() not found in type android.bluetooth.BluetoothHeadset
[jsr308.javac] StubParser: Method isEnabled() not found in type android.bluetooth.BluetoothHealth
[jsr308.javac] StubParser: Constructor <init>(int,boolean,boolean,int) not found in type android.bluetooth.BluetoothServerSocket
[jsr308.javac] StubParser: Constructor <init>(int,int,boolean,boolean,String,int) not found in type android.bluetooth.BluetoothSocket
[jsr308.javac] StubParser: Constructor <init>(int,int,boolean,boolean,BluetoothDevice,int,ParcelUuid) not found in type android.bluetooth.BluetoothSocket
[jsr308.javac] StubParser: Method setParameter(String,String) not found in type android.media.AudioManager
[jsr308.javac] StubParser: Method open(Uri) not found in type android.media.Ringtone
[jsr308.javac] StubParser: Method open(AssetFileDescriptor) not found in type android.media.Ringtone
[jsr308.javac] StubParser: Method open(FileDescriptor) not found in type android.media.Ringtone
[jsr308.javac] StubParser: Method getRingtone(Context,Uri,int) not found in type android.media.RingtoneManager
[jsr308.javac] StubParser: Method onError(int,String) not found in type android.net.sip.SipAudioCall
[jsr308.javac] StubParser: Method close(boolean) not found in type android.net.sip.SipAudioCall
[jsr308.javac] StubParser: Method setCountryCode(String,boolean) not found in type android.net.wifi.WifiManager
[jsr308.javac] StubParser: Method getService() not found in type android.nfc.NfcAdapter
[jsr308.javac] StubParser: Method getDefaultAdapter() not found in type android.nfc.NfcAdapter
[jsr308.javac] StubParser: Method enable() not found in type android.nfc.NfcAdapter
[jsr308.javac] StubParser: Method disable() not found in type android.nfc.NfcAdapter
[jsr308.javac] StubParser: Method enableForegroundNdefPush(Activity,NdefPushCallback) not found in type android.nfc.NfcAdapter
[jsr308.javac] StubParser: Method getSingleton() not found in type android.nfc.NfcAdapter
[jsr308.javac] StubParser: Constructor <init>(Context) not found in type android.nfc.NfcManager
[jsr308.javac] StubParser: Method reconnect() not found in type android.nfc.tech.BasicTagTechnology
[jsr308.javac] StubParser: Method transceive(byte[],boolean) not found in type android.nfc.tech.BasicTagTechnology
[jsr308.javac] StubParser: Method transceive(byte[],boolean) not found in type android.nfc.tech.IsoDep
[jsr308.javac] StubParser: Method reconnect() not found in type android.nfc.tech.IsoDep
[jsr308.javac] StubParser: Method authenticate(int,byte[],boolean) not found in type android.nfc.tech.MifareClassic
[jsr308.javac] StubParser: Method transceive(byte[],boolean) not found in type android.nfc.tech.MifareClassic
[jsr308.javac] StubParser: Method reconnect() not found in type android.nfc.tech.MifareClassic
[jsr308.javac] StubParser: Method transceive(byte[],boolean) not found in type android.nfc.tech.MifareUltralight
[jsr308.javac] StubParser: Method reconnect() not found in type android.nfc.tech.MifareUltralight
[jsr308.javac] StubParser: Method reconnect() not found in type android.nfc.tech.Ndef
[jsr308.javac] StubParser: Method transceive(byte[],boolean) not found in type android.nfc.tech.Ndef
[jsr308.javac] StubParser: Method transceive(byte[],boolean) not found in type android.nfc.tech.NdefFormatable
[jsr308.javac] StubParser: Method format(NdefMessage,boolean) not found in type android.nfc.tech.NdefFormatable
[jsr308.javac] StubParser: Method reconnect() not found in type android.nfc.tech.NdefFormatable
[jsr308.javac] StubParser: Method transceive(byte[],boolean) not found in type android.nfc.tech.NfcA
[jsr308.javac] StubParser: Method reconnect() not found in type android.nfc.tech.NfcA
[jsr308.javac] StubParser: Method transceive(byte[],boolean) not found in type android.nfc.tech.NfcB
[jsr308.javac] StubParser: Method reconnect() not found in type android.nfc.tech.NfcB
[jsr308.javac] StubParser: Method reconnect() not found in type android.nfc.tech.NfcF
[jsr308.javac] StubParser: Method transceive(byte[],boolean) not found in type android.nfc.tech.NfcF
[jsr308.javac] StubParser: Method reconnect() not found in type android.nfc.tech.NfcV
[jsr308.javac] StubParser: Method transceive(byte[],boolean) not found in type android.nfc.tech.NfcV
[jsr308.javac] StubParser: Method release(int) not found in type android.os.PowerManager.WakeLock
[jsr308.javac] StubParser: Method getVisitedHistory(ContentResolver) not found in type android.provider.Browser
[jsr308.javac] StubParser: Method insert(ContentResolver,long,long,long,long,int) not found in type android.provider.CalendarContract.CalendarAlerts
[jsr308.javac] StubParser: Constructor <init>(Context,WebView) not found in type android.webkit.WebSettings
[jsr308.javac] StubParser: Constructor <init>(Context,AttributeSet,int,Map,boolean) not found in type android.webkit.WebView
[jsr308.javac] StubParser: Method setVideoURI(Uri,Map) not found in type android.widget.VideoView
[jsr308.javac] StubParser: Method release(boolean) not found in type android.widget.VideoView
[jsr308.javac] StubParser: Constructor <init>(int) not found in type java.net.HttpURLConnection
[jsr308.javac] StubParser: Constructor <init>(int) not found in type java.net.NetworkInterface
[jsr308.javac] StubParser: Constructor <init>(int) not found in type java.net.Socket
[jsr308.javac] StubParser: Constructor <init>(int) not found in type org.apache.http.impl.client.DefaultHttpClient
